k;p
779474;-1075.11
832370;-1049.75
765565;-1039.71
561395;-1036.91
299683;-1036.6
91228.2;-1036.68
25345.3;-1036.23
130332;-1035.15
361084;-1034.13
618866;-1034.55
795309;-1038.89
826269;-1052.88
769329;-1079.33
815839;-1059.15
814981;-1043.02
666643;-1038.62
417680;-1038.65
171728;-1039.89
33824.8;-1040.64
63169.3;-1040.17
247142;-1038.72
506829;-1037.45
731803;-1038.51
831019;-1045.99
792895;-1068.66
784727;-1072.07
831729;-1047.65
749642;-1039.09
535359;-1037.73
274230;-1039.05
77052.6;-1040.72
28348.6;-1041.41
149036;-1040.76
387278;-1039.4
641215;-1038.99
804536;-1042.58
820903;-1056.79
767089;-1080.38
819878;-1056.1
805434;-1040.41
644018;-1035.39
390788;-1034.69
151684;-1035.61
28909.2;-1036.71
75178.1;-1037.25
270600;-1037.24
531385;-1037.5
746844;-1039.94
830964;-1048.79
784833;-1072.78
790436;-1069.44
829737;-1044.89
733046;-1034.77
509908;-1030.8
250435;-1029.59
64919.7;-1029.75
32916.8;-1030.58
168169;-1031.74
412595;-1033.37
661787;-1036.33
811923;-1043.01
814852;-1060.13
766772;-1081.05
822919;-1053.97
794797;-1037.56
621337;-1029.93
365011;-1026
133484;-1024.21
25792.4;-1024.03
88181.6;-1025.19
293836;-1027.58
554621;-1031.35
760079;-1037.57
829569;-1050.02
777606;-1076.51
796104;-1067.75
826387;-1043.94
715831;-1032.69
485046;-1026.35
228212;-1022.52
54660.7;-1020.67
38842.1;-1020.75
187544;-1022.71
436926;-1026.5
680568;-1032.43
817536;-1042.35
808253;-1062.96
768081;-1081.17
824984;-1053.71
783317;-1038.42
598828;-1030.54
340458;-1025.62
117078;-1022.6
24301.2;-1021.37
101971;-1021.99
316711;-1024.54
576541;-1029.18
771666;-1036.88
827108;-1051.53
771495;-1079.66
801330;-1066.84
821717;-1045.83
698128;-1036.68
460871;-1031.86
207556;-1028.89
46148.6;-1027.1
45907.4;-1026.45
206927;-1027.13
460098;-1029.5
697501;-1034.39
821440;-1044.2
801273;-1066.26
770643;-1080.66
826084;-1054.58
771221;-1042.74
576738;-1038.2
317276;-1036.23
102453;-1035.1
24266.6;-1034.21
116298;-1033.57
339004;-1033.67
597048;-1035.49
781679;-1040.93
823799;-1054.94
766684;-1082.49
805871;-1065.94
815860;-1048.25
680146;-1042.69
437545;-1041.65
188502;-1041.95
39269.9;-1042.05
53896.6;-1041.4
226088;-1040.25
481962;-1039.6
712580;-1041.27
823769;-1048.86
794152;-1070.62
774082;-1079.71
826247;-1054.72
758699;-1045.51
555257;-1043.98
295560;-1045.2
89559.4;-1046.69
25514.8;-1047.1
130933;-1046.11
360529;-1044.41
616074;-1043.68
790192;-1046.78
819835;-1059.76
763254;-1085.3
809657;-1064.69
809016;-1048.25
662093;-1043.64
415180;-1043.73
171026;-1045.33
33887.1;-1046.68
62630.9;-1046.9
244897;-1046.06
502507;-1045.16
725928;-1046.28
824749;-1053.53
787159;-1075.64
778065;-1078.93
825526;-1053.66
745871;-1043.77
534452;-1040.97
275277;-1041.12
78272.5;-1042.26
27875.3;-1043.28
145730;-1043.76
381218;-1043.98
633655;-1045.13
797323;-1049.8
815374;-1064.32
