x;y;z;r
-99.9395;0.0011562;0.0104573;0
-99.9392;0.00116261;0.0105031;0
-99.9389;0.00116905;0.010549;0
-99.9387;0.00117551;0.010595;0
-99.9384;0.00118199;0.0106412;0
-99.9381;0.0011885;0.0106874;0
-99.9379;0.00119502;0.0107337;0
-99.9376;0.00120157;0.0107801;0
-99.9373;0.00120815;0.0108266;0
-99.937;0.00121474;0.0108732;0
-99.9367;0.00122135;0.0109198;0
-99.9365;0.00122799;0.0109666;0
-99.9362;0.00123465;0.0110134;0
-99.9359;0.00124133;0.0110603;0
-99.9356;0.00124804;0.0111074;0
-99.9354;0.00125478;0.0111545;0
-99.9351;0.00126153;0.0112017;0
-99.9348;0.00126831;0.011249;0
-99.9345;0.00127512;0.0112964;0
-99.9342;0.00128195;0.0113438;0
-99.9339;0.0012888;0.0113914;0
-99.9337;0.00129567;0.0114391;0
-99.9334;0.00130256;0.0114868;0
-99.9331;0.00130948;0.0115347;0
-99.9328;0.00131642;0.0115826;0
-99.9325;0.00132338;0.0116306;0
-99.9322;0.00133036;0.0116787;0
-99.9319;0.00133738;0.0117268;0
-99.9317;0.00134441;0.0117751;0
-99.9314;0.00135147;0.0118234;0
-99.9311;0.00135856;0.0118718;0
-99.9308;0.00136567;0.0119203;0
-99.9305;0.0013728;0.0119689;0
-99.9302;0.00137995;0.0120176;0
-99.9299;0.00138713;0.0120664;0
-99.9296;0.00139433;0.0121152;0
-99.9293;0.00140155;0.0121642;0
-99.929;0.00140879;0.0122132;0
-99.9288;0.00141606;0.0122623;0
-99.9285;0.00142335;0.0123115;0
-99.9282;0.00143067;0.0123607;0
-99.9279;0.00143801;0.0124101;0
-99.9276;0.00144538;0.0124595;0
-99.9273;0.00145277;0.012509;0
-99.927;0.00146018;0.0125586;0
-99.9267;0.00146762;0.0126082;0
-99.9264;0.00147508;0.012658;0
-99.9261;0.00148256;0.0127078;0
-99.9258;0.00149006;0.0127578;0
-99.9255;0.00149759;0.0128078;0
-99.9252;0.00150514;0.0128579;0
-99.9249;0.00151271;0.012908;0
-99.9246;0.00152031;0.0129583;0
-99.9243;0.00152793;0.0130086;0
-99.924;0.00153558;0.013059;0
-99.9237;0.00154325;0.0131095;0
-99.9234;0.00155094;0.0131601;0
-99.9231;0.00155865;0.0132107;0
-99.9228;0.00156639;0.0132615;0
-99.9225;0.00157416;0.0133123;0
-99.9222;0.00158194;0.0133632;0
-99.9218;0.00158975;0.0134142;0
-99.9215;0.00159758;0.0134653;0
-99.9212;0.00160543;0.0135165;0
-99.9209;0.00161331;0.0135677;0
-99.9206;0.00162121;0.013619;0
-99.9203;0.00162913;0.0136705;0
-99.92;0.00163708;0.0137219;0
-99.9197;0.00164505;0.0137735;0
-99.9194;0.00165304;0.0138252;0
-99.9191;0.00166106;0.0138769;0
-99.9187;0.0016691;0.0139288;0
-99.9184;0.00167717;0.0139807;0
-99.9181;0.00168525;0.0140327;0
-99.9178;0.00169336;0.0140848;0
