x;y;z;r
14.0208;4.37969;7.0394;1.1
14.1627;4.54841;4.74831;1.1
14.0182;4.66133;3.29839;1.1
13.5809;4.7076;2.84269;1.1
12.8793;4.68361;3.42553;1.1
11.9704;4.59351;4.9765;1.1
10.9293;4.44889;7.31777;1.1
9.83366;4.26756;10.1838;1.1
8.73412;4.07164;13.2544;1.1
7.57738;3.88327;16.2318;1.1
6.19803;3.7055;19.1088;1.1
4.70355;3.52791;22.0078;1.1
3.34994;3.35777;24.7724;1.1
2.34036;3.21015;27.1486;1.1
1.81947;3.09986;28.8981;1.1
1.86916;3.0384;29.8429;1.1
2.5046;3.03214;29.8905;1.1
3.6757;3.08141;29.0471;1.1
5.2757;3.18028;27.4186;1.1
7.15815;3.31701;25.2004;1.1
9.16564;3.47494;22.659;1.1
11.1915;3.63373;20.1018;1.1
13.3278;3.77724;17.7341;1.1
15.6573;3.91298;15.4336;1.1
17.9394;4.04732;13.1629;1.1
19.8841;4.17375;11.0749;1.1
21.2517;4.28254;9.35729;1.1
21.8739;4.36455;8.17387;1.1
21.6681;4.41307;7.63603;1.1
20.6446;4.42493;7.78579;1.1
18.9031;4.4011;8.58843;1.1
16.6184;4.34679;9.93351;1.1
14.0143;4.27135;11.6423;1.1
11.3158;4.18832;13.4773;1.1
8.62257;4.11555;15.1678;1.1
5.78825;4.05901;16.6619;1.1
2.88175;4.00595;18.1226;1.1
0.214271;3.95173;19.5484;1.1
-1.90622;3.89823;20.8465;1.1
-3.2333;3.8494;21.909;1.1
-3.60992;3.80947;22.6431;1.1
-2.98503;3.78199;22.9884;1.1
-1.41812;3.76914;22.9268;1.1
0.928858;3.77129;22.4883;1.1
3.81289;3.78647;21.7524;1.1
6.94699;3.8097;20.8502;1.1
10.0778;3.83079;19.9786;1.1
13.2073;3.83526;19.3395;1.1
16.4528;3.82796;18.8399;1.1
19.5997;3.82332;18.3241;1.1
22.3216;3.82882;17.758;1.1
24.3219;3.84787;17.1573;1.1
25.3804;3.8813;16.558;1.1
25.3805;3.92789;16.0019;1.1
24.322;3.98484;15.5283;1.1
22.3217;4.04833;15.1656;1.1
19.5988;4.11426;14.9237;1.1
16.4473;4.17944;14.7843;1.1
13.1881;4.24396;14.6771;1.1
10.0273;4.31729;14.4259;1.1
6.84479;4.4077;13.9406;1.1
3.64753;4.50109;13.4168;1.1
0.70572;4.58124;13.023;1.1
-1.67951;4.63652;12.8571;1.1
-3.25484;4.65935;12.9705;1.1
-3.8521;4.64631;13.3751;1.1
-3.40983;4.59814;14.0471;1.1
-1.98127;4.51944;14.9337;1.1
0.270915;4.41794;15.9621;1.1
3.09262;4.30309;17.0546;1.1
6.1689;4.18381;18.1543;1.1
9.18731;4.06279;19.2908;1.1
12.0825;3.92884;20.634;1.1
14.9982;3.78368;22.1295;1.1
17.8151;3.64746;23.5213;1.1
20.2834;3.53914;24.598;1.1
22.1589;3.47345;25.2067;1.1
23.252;3.45985;25.2559;1.1
23.456;3.50178;24.7202;1.1
22.7613;3.59652;23.6399;1.1
21.2585;3.73562;22.1133;1.1
19.1303;3.90618;20.2816;1.1
16.6338;4.09295;18.3023;1.1
14.0733;4.28261;16.2965;1.1
11.694;4.47531;14.2093;1.1
9.41074;4.68103;11.9198;1.1
7.14441;4.88651;9.62976;1.1
5.03111;5.0687;7.63215;1.1
3.2576;5.20695;6.17521;1.1
1.99358;5.28575;5.43902;1.1
1.36004;5.29634;5.51997;1.1
1.41085;5.23756;6.4226;1.1
2.12393;5.11591;8.06123;1.1
3.4009;4.94459;10.2723;1.1
5.07371;4.74176;12.8385;1.1
6.91411;4.52729;15.5312;1.1
8.65;4.31503;18.2153;1.1
10.1716;4.09766;21.0167;1.1
11.6403;3.87318;23.9286;1.1
13.0845;3.66231;26.6559;1.1
14.4198;3.48876;28.8853;1.1
15.5388;3.37265;30.359;1.1
16.3451;3.32783;30.9045;1.1
16.7723;3.36024;30.4528;1.1
16.7946;3.46733;29.0454;1.1
16.4335;3.63832;26.8278;1.1
15.7598;3.8556;24.0309;1.1
14.8948;4.09709;20.937;1.1
14.0225;4.34078;17.8139;1.1
13.3654;4.5793;14.7169;1.1
12.8821;4.82341;11.5044;1.1
12.3977;5.06418;8.33886;1.1
11.8623;5.27932;5.54207;1.1
11.285;5.44688;3.41832;1.1
10.6983;5.5496;2.20182;1.1
10.1436;5.57718;2.02747;1.1
9.66105;5.52756;2.91526;1.1
9.28185;5.40723;4.76809;1.1
9.02052;5.23048;7.38338;1.1
8.86558;5.01773;10.4783;1.1
8.75979;4.79281;13.7326;1.1
8.54715;4.57569;16.9008;1.1
8.09135;4.36289;20.0608;1.1
7.55779;4.14815;23.2643;1.1
7.13219;3.94621;26.2662;1.1
6.92363;3.77702;28.7642;1.1
6.99206;3.65855;30.4947;1.1
7.35668;3.60369;31.2738;1.1
7.99996;3.61849;31.0206;1.1
8.87322;3.70133;29.7683;1.1
9.90558;3.843;27.6606;1.1
11.0176;4.02759;24.9366;1.1
12.1446;4.23419;21.902;1.1
13.2912;4.43976;18.8775;1.1
14.6188;4.63243;15.9945;1.1
16.1351;4.8227;13.1044;1.1
17.5906;5.00953;10.2753;1.1
18.7622;5.1792;7.74663;1.1
19.4848;5.31644;5.7666;1.1
19.6544;5.40852;4.53563;1.1
19.2333;5.44724;4.17596;1.1
18.2502;5.43021;4.71489;1.1
16.7947;5.36125;6.07981;1.1
15.003;5.25019;8.1045;1.1
13.0338;5.11207;10.545;1.1
11.0232;4.96608;13.1041;1.1
8.96112;4.83213;15.5061;1.1
6.69891;4.71049;17.7791;1.1
4.38304;4.59037;20.0422;1.1
2.30937;4.47512;22.1855;1.1
0.73775;4.37383;24.0264;1.1
-0.136847;4.29598;25.3906;1.1
-0.201075;4.24918;26.1477;1.1
0.566943;4.23789;26.2308;1.1
2.09728;4.26262;25.6477;1.1
4.23855;4.3197;24.482;1.1
6.77979;4.4013;22.8884;1.1
9.48835;4.49551;21.0829;1.1
12.1954;4.58584;19.3318;1.1
14.987;4.65892;17.8033;1.1
17.9215;4.72389;16.3574;1.1
20.7315;4.78961;14.9276;1.1
23.0977;4.85589;13.5851;1.1
24.7483;4.9194;12.4345;1.1
25.4923;4.976;11.5746;1.1
25.2398;5.02187;11.0779;1.1
24.0117;5.05428;10.9781;1.1
21.9354;5.0721;11.2636;1.1
19.2286;5.07631;11.8742;1.1
16.1687;5.07051;12.7;1.1
13.0361;5.06247;13.5728;1.1
9.95007;5.06681;14.2627;1.1
6.76372;5.08746;14.7463;1.1
3.5705;5.10978;15.2081;1.1
0.683134;5.12387;15.7193;1.1
-1.58535;5.1249;16.28;1.1
-2.98437;5.11103;16.8621;1.1
-3.35804;5.08271;17.4261;1.1
-2.66346;5.04219;17.9315;1.1
-0.975556;4.99304;18.3444;1.1
1.52186;4.93947;18.6454;1.1
4.55859;4.88534;18.8386;1.1
7.81638;4.8324;18.9678;1.1
11.0159;4.77563;19.1629;1.1
14.1711;4.70243;19.5967;1.1
17.3887;4.61941;20.1541;1.1
20.463;4.54428;20.6319;1.1
23.0926;4.49048;20.9076;1.1
25.0027;4.46723;20.911;1.1
25.9913;4.47966;20.6141;1.1
25.956;4.52861;20.0268;1.1
24.907;4.61085;19.1922;1.1
22.9669;4.71962;18.1783;1.1
20.3572;4.84577;17.0654;1.1
17.3733;4.9796;15.9255;1.1
14.3404;5.11477;14.7771;1.1
11.4576;5.25793;13.4853;1.1
8.59637;5.41626;11.9772;1.1
5.75973;5.57354;10.4783;1.1
3.16972;5.70949;9.2241;1.1
1.07715;5.80752;8.39236;1.1
-0.306104;5.85593;8.10074;1.1
-0.840827;5.84886;8.40139;1.1
-0.479732;5.78667;9.27895;1.1
0.725218;5.67578;10.6551;1.1
2.62679;5.5277;12.401;1.1
4.99643;5.35724;14.3586;1.1
7.54632;5.17942;16.3803;1.1
9.98047;5.00146;18.4287;1.1
12.2514;4.81297;20.6588;1.1
14.5078;4.61688;22.9979;1.1
16.6792;4.43519;25.1544;1.1
18.591;4.28999;26.8573;1.1
20.0657;4.19911;27.8963;1.1
20.9629;4.17414;28.1395;1.1
21.2019;4.2193;27.5453;1.1
20.7739;4.33106;26.165;1.1
19.7461;4.49863;24.1345;1.1
18.2571;4.70544;21.6554;1.1
16.5088;4.93168;18.9608;1.1
14.7578;5.15934;16.2468;1.1
13.2239;5.38695;13.4871;1.1
11.8138;5.62415;10.5671;1.1
10.4162;5.85705;7.70437;1.1
9.08166;6.06185;5.22;1.1
7.90916;6.2166;3.3988;1.1
6.99832;6.30473;2.45081;1.1
6.42711;6.31698;2.48831;1.1
6.23823;6.25249;3.5142;1.1
6.4311;6.11885;5.42284;1.1
6.95814;5.93116;8.01378;1.1
7.7232;5.71009;11.0191;1.1
8.57502;5.47859;14.1514;1.1
9.29054;5.25293;17.2314;1.1
9.77373;5.02587;20.3805;1.1
10.2012;4.79551;23.5874;1.1
10.6739;4.58122;26.5605;1.1
11.206;4.40565;28.981;1.1
11.7766;4.2882;30.5826;1.1
12.3497;4.24218;31.1874;1.1
12.885;4.2731;30.7273;1.1
13.3459;4.37799;29.2515;1.1
13.7073;4.5457;26.9209;1.1
13.9643;4.75815;23.9887;1.1
14.1461;4.99257;20.7661;1.1
14.3545;5.22575;17.555;1.1
14.781;5.44992;14.4229;1.1
15.3808;5.67594;11.2279;1.1
15.9362;5.89677;8.11474;1.1
16.3058;6.09353;5.37695;1.1
16.4057;6.24717;3.29811;1.1
16.1959;6.34257;2.09755;1.1
15.6771;6.37074;1.90049;1.1
14.8855;6.33005;2.72204;1.1
13.8858;6.2265;4.4646;1.1
12.7599;6.07318;6.92815;1.1
11.5877;5.88895;9.83268;1.1
10.4104;5.69633;12.8552;1.1
9.13445;5.51509;15.74;1.1
7.62943;5.34181;18.5628;1.1
6.07431;5.16896;21.3902;1.1
4.71891;5.0065;24.0299;1.1
3.75736;4.86932;26.2329;1.1
3.32428;4.77125;27.7775;1.1
3.48894;4.72243;28.5075;1.1
4.25179;4.72776;28.3543;1.1
5.54737;4.78619;27.3468;1.1
7.25479;4.89061;25.6097;1.1
9.21727;5.02843;23.3524;1.1
11.2759;5.18242;20.8489;1.1
13.3489;5.33216;18.4017;1.1
15.5693;5.46616;16.1423;1.1
17.9489;5.59509;13.9195;1.1
20.2123;5.72208;11.7485;1.1
22.0756;5.84003;9.7893;1.1
23.3098;5.93967;8.21973;1.1
