x;y;z;r
1.45836;2.2675;28.5194;1.8
2.60217;2.32175;27.6166;1.8
4.1008;2.4169;26.0654;1.8
5.81859;2.54172;24.052;1.8
7.61854;2.68091;21.82;1.8
9.43213;2.81636;19.6372;1.8
11.3783;2.93827;17.6154;1.8
13.4612;3.05606;15.6217;1.8
15.4363;3.1719;13.6784;1.8
17.057;3.27907;11.9327;1.8
18.1258;3.36911;10.5449;1.8
18.5116;3.43457;9.64789;1.8
18.1613;3.47033;9.32441;1.8
17.1038;3.47448;9.59506;1.8
15.4448;3.4487;10.4136;1.8
13.3518;3.39834;11.6691;1.8
11.0277;3.33231;13.1934;1.8
8.66009;3.26329;14.7689;1.8
6.27749;3.20661;16.175;1.8
3.75422;3.16195;17.4433;1.8
1.2321;3.11831;18.6969;1.8
-1.00691;3.07357;19.9049;1.8
-2.70333;3.02993;20.9809;1.8
-3.65893;2.99084;21.8339;1.8
-3.75864;2.95984;22.3898;1.8
-2.98256;2.93975;22.6048;1.8
-1.40721;2.93214;22.4732;1.8
0.804508;2.93694;22.0312;1.8
3.4252;2.95201;21.3578;1.8
6.20059;2.97225;20.5786;1.8
8.94072;2.98716;19.8816;1.8
11.7184;2.98653;19.3937;1.8
14.5735;2.9794;18.9801;1.8
17.2673;2.97691;18.5362;1.8
19.5151;2.98455;18.0464;1.8
21.0722;3.00477;17.5294;1.8
21.768;3.03785;17.0176;1.8
21.5268;3.08236;16.5474;1.8
20.3762;3.13555;16.1513;1.8
18.4438;3.19389;15.8512;1.8
15.9419;3.25379;15.6518;1.8
13.1399;3.31278;15.5295;1.8
10.312;3.37234;15.4048;1.8
7.5641;3.44295;15.1083;1.8
4.76712;3.52675;14.638;1.8
2.01196;3.60877;14.1835;1.8
-0.445418;3.67592;13.8729;1.8
-2.34875;3.7189;13.781;1.8
-3.49441;3.732;13.9439;1.8
-3.75969;3.71319;14.3637;1.8
-3.11834;3.66408;15.012;1.8
-1.64435;3.58958;15.8365;1.8
0.495808;3.49704;16.7697;1.8
3.06179;3.39499;17.7444;1.8
5.77009;3.29057;18.7216;1.8
8.37505;3.18289;19.7666;1.8
10.9103;3.062;21.0111;1.8
13.4591;2.93585;22.3261;1.8
15.863;2.82263;23.4916;1.8
17.8988;2.73799;24.3366;1.8
19.3635;2.69363;24.7413;1.8
20.1104;2.69639;24.6415;1.8
20.0695;2.74776;24.0314;1.8
19.2577;2.84385;22.9618;1.8
