Lx;Ly;Lz
30.6307;-11325;-1757.64
30.6317;-11324.9;-1757.64
30.6342;-11324.7;-1757.63
30.6437;-11324.1;-1757.58
30.6538;-11323.5;-1757.53
30.6583;-11323.2;-1757.51
30.6597;-11323.1;-1757.51
30.6607;-11323;-1757.5
30.6616;-11323;-1757.5
30.6625;-11322.9;-1757.49
30.6634;-11322.8;-1757.49
30.6644;-11322.8;-1757.49
30.6652;-11322.7;-1757.48
30.666;-11322.7;-1757.48
30.6676;-11322.6;-1757.47
30.6734;-11322.2;-1757.44
30.6848;-11321.4;-1757.39
30.6919;-11321;-1757.36
30.6942;-11320.8;-1757.35
30.6952;-11320.8;-1757.34
30.6961;-11320.7;-1757.34
30.697;-11320.6;-1757.33
30.698;-11320.6;-1757.33
30.6989;-11320.5;-1757.33
30.6997;-11320.5;-1757.32
30.7006;-11320.4;-1757.32
30.7016;-11320.3;-1757.31
30.7048;-11320.1;-1757.3
30.7154;-11319.5;-1757.25
30.7248;-11318.8;-1757.2
30.7285;-11318.6;-1757.19
30.7298;-11318.5;-1757.18
30.7307;-11318.5;-1757.18
30.7316;-11318.4;-1757.17
30.7325;-11318.3;-1757.17
30.7335;-11318.3;-1757.16
30.7344;-11318.2;-1757.16
30.7352;-11318.2;-1757.16
30.7361;-11318.1;-1757.15
30.7379;-11318;-1757.14
30.7451;-11317.5;-1757.11
30.7561;-11316.8;-1757.06
30.7621;-11316.4;-1757.03
30.764;-11316.3;-1757.02
30.765;-11316.2;-1757.02
30.7659;-11316.2;-1757.01
30.7668;-11316.1;-1757.01
30.7678;-11316;-1757
30.7687;-11316;-1757
30.7695;-11315.9;-1757
30.7704;-11315.9;-1756.99
30.7716;-11315.8;-1756.99
30.7755;-11315.5;-1756.97
30.7868;-11314.8;-1756.92
30.7954;-11314.2;-1756.88
30.7985;-11314;-1756.86
30.7997;-11314;-1756.86
30.8006;-11313.9;-1756.85
30.8015;-11313.9;-1756.85
30.8024;-11313.8;-1756.84
30.8033;-11313.7;-1756.84
30.8042;-11313.7;-1756.83
30.805;-11313.6;-1756.83
30.806;-11313.6;-1756.83
30.8082;-11313.4;-1756.82
30.8167;-11312.9;-1756.78
30.8271;-11312.2;-1756.73
30.8322;-11311.9;-1756.7
30.8338;-11311.7;-1756.7
30.8348;-11311.7;-1756.69
30.8357;-11311.6;-1756.69
30.8366;-11311.6;-1756.68
30.8375;-11311.5;-1756.68
30.8384;-11311.4;-1756.68
30.8393;-11311.4;-1756.67
30.8401;-11311.3;-1756.67
30.8415;-11311.3;-1756.66
30.8464;-11310.9;-1756.64
30.8578;-11310.2;-1756.59
30.8656;-11309.7;-1756.55
30.8682;-11309.5;-1756.54
30.8693;-11309.4;-1756.53
30.8702;-11309.4;-1756.53
30.8711;-11309.3;-1756.52
30.872;-11309.3;-1756.52
30.8729;-11309.2;-1756.51
30.8738;-11309.1;-1756.51
30.8746;-11309.1;-1756.51
30.8756;-11309;-1756.5
30.8783;-11308.9;-1756.49
30.888;-11308.2;-1756.44
30.8978;-11307.6;-1756.4
30.9021;-11307.3;-1756.38
30.9035;-11307.2;-1756.37
30.9044;-11307.2;-1756.37
30.9053;-11307.1;-1756.36
30.9062;-11307;-1756.36
30.9072;-11307;-1756.36
30.9081;-11306.9;-1756.35
30.9089;-11306.9;-1756.35
30.9097;-11306.8;-1756.34
30.9113;-11306.7;-1756.34
30.9174;-11306.3;-1756.31
30.9286;-11305.6;-1756.26
30.9355;-11305.1;-1756.22
30.9376;-11305;-1756.21
30.9386;-11304.9;-1756.21
30.9395;-11304.9;-1756.2
30.9404;-11304.8;-1756.2
30.9414;-11304.7;-1756.2
30.9423;-11304.7;-1756.19
30.9432;-11304.6;-1756.19
30.944;-11304.6;-1756.18
30.945;-11304.5;-1756.18
30.9483;-11304.3;-1756.16
30.959;-11303.6;-1756.11
30.9682;-11303;-1756.07
30.9717;-11302.8;-1756.05
30.973;-11302.7;-1756.05
30.9739;-11302.6;-1756.04
30.9748;-11302.6;-1756.04
30.9757;-11302.5;-1756.04
30.9767;-11302.4;-1756.03
30.9776;-11302.4;-1756.03
30.9784;-11302.3;-1756.02
30.9792;-11302.3;-1756.02
30.9811;-11302.2;-1756.01
30.9884;-11301.7;-1755.98
30.9992;-11301;-1755.93
31.0051;-11300.6;-1755.9
31.007;-11300.5;-1755.89
31.008;-11300.4;-1755.89
31.0088;-11300.3;-1755.88
31.0098;-11300.3;-1755.88
31.0107;-11300.2;-1755.87
31.0116;-11300.2;-1755.87
31.0125;-11300.1;-1755.86
31.0133;-11300.1;-1755.86
31.0145;-11300;-1755.86
31.0185;-11299.7;-1755.84
31.0297;-11299;-1755.78
31.0382;-11298.4;-1755.74
31.0412;-11298.2;-1755.73
31.0424;-11298.2;-1755.73
31.0433;-11298.1;-1755.72
31.0442;-11298;-1755.72
31.0451;-11298;-1755.71
31.046;-11297.9;-1755.71
31.0469;-11297.9;-1755.7
31.0477;-11297.8;-1755.7
31.0486;-11297.8;-1755.7
31.0509;-11297.6;-1755.69
31.0594;-11297.1;-1755.65
31.0697;-11296.4;-1755.6
31.0747;-11296.1;-1755.57
31.0763;-11296;-1755.57
31.0773;-11295.9;-1755.56
31.0782;-11295.8;-1755.56
31.0791;-11295.8;-1755.55
31.08;-11295.7;-1755.55
31.0809;-11295.7;-1755.55
31.0818;-11295.6;-1755.54
31.0826;-11295.5;-1755.54
31.0839;-11295.5;-1755.53
31.0889;-11295.1;-1755.51
31.1002;-11294.4;-1755.46
31.108;-11293.9;-1755.42
31.1105;-11293.7;-1755.41
31.1116;-11293.7;-1755.4
31.1125;-11293.6;-1755.4
31.1134;-11293.5;-1755.39
31.1143;-11293.5;-1755.39
31.1153;-11293.4;-1755.39
31.1161;-11293.4;-1755.38
31.1169;-11293.3;-1755.38
31.1179;-11293.3;-1755.37
31.1206;-11293.1;-1755.36
31.1302;-11292.5;-1755.32
31.1399;-11291.8;-1755.27
31.1442;-11291.5;-1755.25
31.1456;-11291.4;-1755.24
31.1466;-11291.4;-1755.24
31.1475;-11291.3;-1755.24
31.1484;-11291.3;-1755.23
31.1493;-11291.2;-1755.23
31.1502;-11291.1;-1755.22
31.151;-11291.1;-1755.22
31.1519;-11291;-1755.22
31.1534;-11290.9;-1755.21
31.1593;-11290.6;-1755.18
31.1705;-11289.8;-1755.13
31.1774;-11289.4;-1755.1
31.1796;-11289.2;-1755.09
31.1806;-11289.2;-1755.08
31.1815;-11289.1;-1755.08
31.1824;-11289;-1755.07
31.1834;-11289;-1755.07
31.1843;-11288.9;-1755.06
31.1851;-11288.9;-1755.06
31.1859;-11288.8;-1755.06
31.187;-11288.8;-1755.05
31.1902;-11288.5;-1755.04
31.2006;-11287.9;-1754.99
31.2098;-11287.3;-1754.94
31.2135;-11287;-1754.93
31.2148;-11286.9;-1754.92
31.2157;-11286.9;-1754.92
31.2166;-11286.8;-1754.91
31.2175;-11286.8;-1754.91
31.2184;-11286.7;-1754.9
31.2193;-11286.6;-1754.9
31.2201;-11286.6;-1754.9
31.221;-11286.5;-1754.89
31.2228;-11286.4;-1754.88
31.2298;-11286;-1754.85
31.2406;-11285.3;-1754.8
31.2466;-11284.9;-1754.77
31.2485;-11284.7;-1754.76
31.2495;-11284.7;-1754.76
31.2504;-11284.6;-1754.76
31.2513;-11284.6;-1754.75
31.2522;-11284.5;-1754.75
31.2532;-11284.4;-1754.74
31.254;-11284.4;-1754.74
31.2548;-11284.3;-1754.73
31.256;-11284.3;-1754.73
31.2598;-11284;-1754.71
31.2708;-11283.3;-1754.66
31.2794;-11282.7;-1754.62
31.2825;-11282.5;-1754.61
31.2837;-11282.5;-1754.6
31.2845;-11282.4;-1754.6
31.2854;-11282.3;-1754.59
31.2864;-11282.3;-1754.59
31.2873;-11282.2;-1754.58
31.2882;-11282.2;-1754.58
31.289;-11282.1;-1754.58
31.2899;-11282;-1754.57
31.292;-11281.9;-1754.56
31.3001;-11281.4;-1754.52
31.3104;-11280.7;-1754.47
31.3157;-11280.4;-1754.45
31.3173;-11280.3;-1754.44
